"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"00:26:30:860","11664836903098","   0.100","   7.447","  796","  700","  800","  800","   1.585","   0.159","   0.044","   0.384","   0.039","   0.011"," 49","0"," 44"," 47","  45.556","  44.000","  12.222","   9.000","    0","    0"
"00:26:30:983","11664974188174","   0.224","   9.403","  797","  700","  800","  800","   1.621","   0.359","   0.100","   0.401","   0.088","   0.024"," 48","0"," 44"," 47","  45.833","  88.000","  24.444","   9.000","    0","    0"
"00:26:31:085","11665087534537","   0.325","  24.450","  798","  700","  800","  800","   1.878","   0.550","   0.153","   0.468","   0.136","   0.038"," 49","0"," 45"," 48","  45.831"," 133.000","  36.944","   9.000","    0","    0"
"00:26:31:191","11665205780643","   0.432","  43.984","  798","  700","  800","  800","   2.944","   0.863","   0.240","   0.952","   0.237","   0.066"," 48","0"," 45"," 49","  46.850"," 178.000","  49.444","   9.000","    0","    0"
"00:26:31:292","11665318144346","   0.532","  17.449","  798","  700","  800","  800","   1.990","   1.063","   0.295","   0.468","   0.284","   0.079"," 49","0"," 45"," 48","  46.245"," 223.000","  61.944","   9.000","    0","    0"
"00:26:31:399","11665437534609","   0.640","  10.712","  796","  700","  800","  800","   1.250","   1.197","   0.333","   0.287","   0.315","   0.087"," 48","0"," 44"," 47","  45.614"," 267.000","  74.167","   9.000","  300","  300"
"00:26:31:502","11665552383964","   0.743","  13.229","  797","  700","  800","  800","   1.630","   1.366","   0.379","   0.330","   0.349","   0.097"," 48","0"," 44"," 47","  45.547"," 311.000","  86.389","   9.000","    0","    0"
"00:26:31:606","11665668517136","   0.847","  11.177","  797","  700","  800","  800","   1.446","   1.516","   0.421","   0.286","   0.379","   0.105"," 49","0"," 44"," 47","  45.225"," 355.000","  98.611","   9.000","    0","    0"
"00:26:31:708","11665782067108","   0.949","  12.984","  797","  700","  800","  800","   1.441","   1.663","   0.462","   0.327","   0.412","   0.114"," 48","0"," 44"," 47","  45.776"," 399.000"," 110.833","   9.000","  300","  300"
"00:26:31:813","11665898825643","   1.054","   0.000","  800","  800","  800","  800","   2.099","   1.883","   0.523","   0.502","   0.465","   0.129"," 48","0"," 54"," 54","  54.000"," 453.000"," 125.833","   9.000","    0","    0"
"00:26:31:916","11666013271414","   1.157","   0.335","  793","  700","  800","  800","   2.205","   2.110","   0.586","   0.479","   0.514","   0.143"," 49","0"," 45"," 47","  46.333"," 498.000"," 138.333","   9.000","    0","    0"
"00:26:32:021","11666130570666","   1.262","   0.108","  798","  700","  800","  800","   1.917","   2.312","   0.642","   0.414","   0.557","   0.155"," 48","0"," 47"," 47","  47.000"," 545.000"," 151.389","   9.000","    0","    0"

"Total Elapsed Time (sec) = 1.262031"
"Measured RDTSC Frequency (GHz) = 1.114"

"Cumulative Package Energy_0 (Joules) = 2.311951"
"Cumulative Package Energy_0 (mWh) = 0.642209"
"Average Package Power_0 (Watt) = 1.831929"

"Cumulative IA Energy_0 (Joules) = 0.557434"
"Cumulative IA Energy_0 (mWh) = 0.154843"
"Average Package IA_0 (Watt) = 0.441696"

"Cumulative DRAM Energy_0 (Joules) = 545.000000"
"Cumulative DRAM Energy_0 (mWh) = 151.388889"
"Average Package DRAM_0 (Watt) = 431.843728"
