"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"12:37:12:644","18517721506643","   0.101","  52.156"," 1727","  700"," 2900"," 1749","   4.436","   0.449","   0.125","   3.089","   0.313","   0.087"," 52","0"," 43"," 52","  48.208","  43.000","  11.944","   9.000","    0","    0"
"12:37:12:751","18517840170834","   0.208","  47.167"," 1828","  700"," 3200"," 1834","   4.619","   0.941","   0.261","   3.100","   0.643","   0.179"," 50","0"," 45"," 56","  49.224","  88.000","  24.444","   9.000","    0","    0"
"12:37:12:858","18517959945290","   0.315","  21.668"," 2615","  700"," 3200"," 2613","   4.010","   1.373","   0.381","   3.048","   0.971","   0.270"," 46","0"," 45"," 62","  53.660"," 133.000","  36.944","   9.000","    0","    0"
"12:37:12:960","18518073342051","   0.417","   8.360","  974","  700"," 1200","  971","   0.834","   1.457","   0.405","   0.251","   0.996","   0.277"," 46","0"," 43"," 45","  43.960"," 176.000","  48.889","   9.000","    0","    0"
"12:37:13:064","18518188588250","   0.521","   6.712","  903","  700"," 1200","  898","   0.583","   1.518","   0.422","   0.170","   1.014","   0.282"," 46","0"," 41"," 44","  42.934"," 217.000","  60.278","   9.000","    0","    0"
"12:37:13:168","18518305142249","   0.625","   9.772"," 1027","  700"," 1400"," 1033","   0.900","   1.612","   0.448","   0.306","   1.046","   0.291"," 45","0"," 41"," 44","  42.856"," 258.000","  71.667","   9.000","    0","    0"
"12:37:13:270","18518418240797","   0.727","   5.244","  894","  700"," 1200","  902","   0.505","   1.663","   0.462","   0.179","   1.064","   0.296"," 45","0"," 41"," 43","  42.468"," 299.000","  83.056","   9.000","    0","    0"
"12:37:13:378","18518538251381","   0.835","   5.828","  863","  700"," 1200","  865","   0.515","   1.719","   0.477","   0.173","   1.083","   0.301"," 44","0"," 41"," 43","  41.818"," 340.000","  94.444","   9.000","    0","    0"
"12:37:13:483","18518655172688","   0.940","   7.812","  959","  700"," 1200","  969","   0.631","   1.785","   0.496","   0.221","   1.106","   0.307"," 43","0"," 40"," 43","  41.676"," 380.000"," 105.556","   9.000","  300","  300"
"12:37:13:584","18518767713848","   1.041","  10.071","  944","  700"," 1400","  957","   0.749","   1.861","   0.517","   0.245","   1.131","   0.314"," 44","0"," 39"," 43","  41.416"," 419.000"," 116.389","   9.000","    0","    0"
"12:37:13:691","18518887472227","   1.148","  44.826"," 1921","  800"," 3200"," 1936","   4.493","   2.344","   0.651","   3.250","   1.480","   0.411"," 44","0"," 41"," 50","  45.480"," 460.000"," 127.778","   9.000","    0","    0"
"12:37:13:794","18519001467084","   1.251","   9.649","  900","  700"," 2400","  910","   0.757","   2.422","   0.673","   0.297","   1.511","   0.420"," 44","0"," 40"," 44","  42.241"," 500.000"," 138.889","   9.000","    0","    0"

"Total Elapsed Time (sec) = 1.250574"
"Measured RDTSC Frequency (GHz) = 1.114"

"Cumulative Package Energy_0 (Joules) = 2.421631"
"Cumulative Package Energy_0 (mWh) = 0.672675"
"Average Package Power_0 (Watt) = 1.936416"

"Cumulative IA Energy_0 (Joules) = 1.510742"
"Cumulative IA Energy_0 (mWh) = 0.419651"
"Average Package IA_0 (Watt) = 1.208039"

"Cumulative DRAM Energy_0 (Joules) = 500.000000"
"Cumulative DRAM Energy_0 (mWh) = 138.888889"
"Average Package DRAM_0 (Watt) = 399.816521"
