"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"16:58:29:295","14585555001782","   0.103","   6.179","  909","  700"," 1200","  895","   0.838","   0.086","   0.024","   0.165","   0.017","   0.005"," 60","0"," 57"," 62","  58.945","  57.000","  15.833","   9.000","    0","    0"
"16:58:29:412","14585685307235","   0.220","  15.959"," 1096","  700"," 1400"," 1096","   1.681","   0.283","   0.079","   0.483","   0.073","   0.020"," 60","0"," 57"," 60","  58.652"," 114.000","  31.667","   9.000","    0","    0"
"16:58:29:519","14585805297041","   0.328","   6.006"," 1012","  700"," 1400"," 1025","   0.954","   0.386","   0.107","   0.189","   0.094","   0.026"," 60","0"," 56"," 58","  57.193"," 170.000","  47.222","   9.000","    0","    0"
"16:58:29:627","14585925311654","   0.435","   6.796","  946","  700"," 1300","  947","   0.748","   0.466","   0.130","   0.193","   0.115","   0.032"," 59","0"," 56"," 58","  56.609"," 226.000","  62.778","   9.000","    0","    0"
"16:58:29:728","14586037615595","   0.536","   8.892","  906","  700"," 1400","  914","   0.851","   0.552","   0.153","   0.249","   0.140","   0.039"," 59","0"," 55"," 58","  56.468"," 281.000","  78.056","   9.000","    0","    0"
"16:58:29:830","14586151703793","   0.639","  15.602","  933","  700"," 1400","  941","   1.354","   0.691","   0.192","   0.365","   0.177","   0.049"," 58","0"," 55"," 58","  56.157"," 336.000","  93.333","   9.000","    0","    0"
"16:58:29:932","14586264553819","   0.740","  18.812","  958","  700"," 1400","  973","   1.541","   0.847","   0.235","   0.395","   0.217","   0.060"," 58","0"," 55"," 58","  56.327"," 391.000"," 108.611","   9.000","    0","    0"
"16:58:30:033","14586377696116","   0.842","  18.422"," 1074","  700"," 1800"," 1087","   1.689","   1.019","   0.283","   0.521","   0.270","   0.075"," 58","0"," 55"," 58","  56.691"," 446.000"," 123.889","   9.000","    0","    0"
"16:58:30:139","14586495439155","   0.947","   7.364","  944","  700"," 1300","  950","   1.049","   1.130","   0.314","   0.280","   0.300","   0.083"," 59","0"," 55"," 58","  56.368"," 501.000"," 139.167","   9.000","    0","    0"
"16:58:30:241","14586608633113","   1.049","  10.456","  872","  700"," 1300","  877","   1.102","   1.242","   0.345","   0.251","   0.325","   0.090"," 58","0"," 54"," 57","  55.785"," 555.000"," 154.167","   9.000","    0","    0"
"16:58:30:346","14586725889873","   1.154","   6.267"," 1003","  700"," 1400"," 1010","   0.812","   1.327","   0.369","   0.190","   0.345","   0.096"," 58","0"," 55"," 56","  55.483"," 610.000"," 169.444","   9.000","    0","    0"
"16:58:30:451","14586842648466","   1.259","  14.609"," 1037","  700"," 1400"," 1187","   1.088","   1.441","   0.400","   0.332","   0.380","   0.106"," 58","0"," 54"," 57","  55.696"," 664.000"," 184.444","   9.000","    0","    0"

"Total Elapsed Time (sec) = 1.259160"
"Measured RDTSC Frequency (GHz) = 1.114"

"Cumulative Package Energy_0 (Joules) = 1.441162"
"Cumulative Package Energy_0 (mWh) = 0.400323"
"Average Package Power_0 (Watt) = 1.144542"

"Cumulative IA Energy_0 (Joules) = 0.380066"
"Cumulative IA Energy_0 (mWh) = 0.105574"
"Average Package IA_0 (Watt) = 0.301841"

"Cumulative DRAM Energy_0 (Joules) = 664.000000"
"Cumulative DRAM Energy_0 (mWh) = 184.444444"
"Average Package DRAM_0 (Watt) = 527.335667"
