"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"17:14:41:429","32375048864718","   0.105","   6.350","  870","  700"," 1200","  800","   1.020","   0.107","   0.030","   0.188","   0.020","   0.005"," 86","0"," 85"," 88","  86.322","  85.000","  23.611","   9.000","    0","    0"
"17:14:41:546","32375179875186","   0.223","  12.253"," 1017","  700"," 1400"," 1031","   1.489","   0.283","   0.079","   0.413","   0.068","   0.019"," 85","0"," 83"," 86","  84.882"," 168.000","  46.667","   9.000","    0","    0"
"17:14:41:653","32375298540833","   0.330","   6.114","  923","  700"," 1400","  951","   1.091","   0.399","   0.111","   0.265","   0.097","   0.027"," 84","0"," 83"," 85","  83.877"," 251.000","  69.722","   9.000","    0","    0"
"17:14:41:756","32375413958853","   0.433","   7.712","  933","  700"," 1400","  934","   1.128","   0.516","   0.143","   0.291","   0.127","   0.035"," 84","0"," 82"," 84","  82.729"," 333.000","  92.500","   9.000","    0","    0"
"17:14:41:859","32375527864404","   0.535","   8.944","  889","  700"," 1400","  888","   1.193","   0.638","   0.177","   0.329","   0.160","   0.045"," 83","0"," 81"," 83","  82.050"," 414.000"," 115.000","   9.000","    0","    0"
"17:14:41:965","32375646477940","   0.642","   8.084"," 1018","  700"," 1400"," 1013","   1.355","   0.782","   0.217","   0.391","   0.202","   0.056"," 83","0"," 80"," 83","  81.934"," 494.000"," 137.222","   9.000","    0","    0"
"17:14:42:071","32375764160624","   0.748","   7.078","  920","  700"," 1400","  930","   1.249","   0.914","   0.254","   0.308","   0.235","   0.065"," 82","0"," 80"," 82","  80.970"," 574.000"," 159.444","   9.000","    0","    0"
"17:14:42:177","32375882487584","   0.854","   6.160","  962","  700"," 1400","  968","   1.266","   1.049","   0.291","   0.222","   0.258","   0.072"," 82","0"," 80"," 82","  80.684"," 654.000"," 181.667","   9.000","    0","    0"
"17:14:42:283","32376000209260","   0.960","   6.165","  917","  700"," 1400","  912","   1.226","   1.178","   0.327","   0.224","   0.282","   0.078"," 82","0"," 79"," 82","  80.754"," 733.000"," 203.611","   9.000","    0","    0"
"17:14:42:384","32376112595543","   1.061","   8.384","  891","  700"," 1400","  892","   1.470","   1.327","   0.369","   0.278","   0.310","   0.086"," 82","0"," 79"," 83","  80.649"," 812.000"," 225.556","   9.000","    0","    0"
"17:14:42:490","32376230613228","   1.166","  15.097","  976","  700"," 1400"," 1111","   1.707","   1.508","   0.419","   0.408","   0.353","   0.098"," 82","0"," 78"," 83","  80.714"," 890.000"," 247.222","   9.000","    0","    0"
"17:14:42:593","32376345980024","   1.270","  16.550","  851","  700"," 1400","  882","   1.666","   1.680","   0.467","   0.507","   0.406","   0.113"," 81","0"," 78"," 82","  80.397"," 968.000"," 268.889","   9.000","    0","    0"

"Total Elapsed Time (sec) = 1.270074"
"Measured RDTSC Frequency (GHz) = 1.114"

"Cumulative Package Energy_0 (Joules) = 1.680298"
"Cumulative Package Energy_0 (mWh) = 0.466749"
"Average Package Power_0 (Watt) = 1.322992"

"Cumulative IA Energy_0 (Joules) = 0.405640"
"Cumulative IA Energy_0 (mWh) = 0.112678"
"Average Package IA_0 (Watt) = 0.319383"

"Cumulative DRAM Energy_0 (Joules) = 968.000000"
"Cumulative DRAM Energy_0 (mWh) = 268.888889"
"Average Package DRAM_0 (Watt) = 762.160381"
